candidate_id,rank,score,reasoning
CAND_0046064,1,1.0,"Top-tier Senior NLP Engineer at Salesforce with 8.9y of relevant ML/search experience. Proven engineering capability in vector search/retrieval (Pinecone), critical for scaling the search infrastructure. Located in Coimbatore. Highly hireable with a quick 30-day notice. Strong GitHub activity score (67.3) demonstrates active engineering contributions."
CAND_0071974,2,0.8614,"Highly qualified candidate with 7.8y experience, currently serving as Senior AI Engineer at Netflix. Brings strong hands-on experience in LoRA, Weaviate, PEFT, showing excellent product-focused ML depth. Located in Vizag. Note: 45-day notice period. Strong GitHub activity score (82.8) demonstrates active engineering contributions."
CAND_0081846,3,0.7263,"Stellar candidate with 6.7y experience, currently Lead AI Engineer at Razorpay. Demonstrates deep expertise in Information Retrieval, Elasticsearch, Vector Search, aligning perfectly with the JD's search and retrieval focus. Based in Jaipur but willing to relocate. Highly hireable with a quick 30-day notice."
CAND_0099806,4,0.6318,"Top-tier AI Engineer at Mad Street Den with 4.6y of relevant ML/search experience. Proven engineering capability in vector search/retrieval (FAISS), critical for scaling the search infrastructure. Based in Bhubaneswar but willing to relocate. Highly hireable with a quick 30-day notice. Strong GitHub activity score (86.9) demonstrates active engineering contributions."
CAND_0018499,5,0.6186,"Highly qualified candidate with 7.2y experience, currently serving as Senior Machine Learning Engineer at Zomato. Brings strong hands-on experience in Weaviate, Recommendation Systems, Pinecone, showing excellent product-focused ML depth. Ideally located in the Noida/Pune hiring hub. Highly hireable with a quick 15-day notice. Strong GitHub activity score (94.8) demonstrates active engineering contributions."
CAND_0079387,6,0.6141,"Stellar candidate with 6.9y experience, currently AI Engineer at Microsoft. Demonstrates deep expertise in Recommendation Systems, Sentence Transformers, Vector Search, aligning perfectly with the JD's search and retrieval focus. Located in Trivandrum. Highly hireable with a quick 30-day notice. Excellent response rate of 81% indicates strong candidate engagement. Strong GitHub activity score (64.1) demonstrates active engineering contributions."
CAND_0002025,7,0.6043,"Top-tier Senior AI Engineer at Apple with 5.9y of relevant ML/search experience. Proven engineering capability in vector search/retrieval (FAISS), critical for scaling the search infrastructure. Located in Trivandrum. Highly hireable with a quick 30-day notice. Excellent response rate of 80% indicates strong candidate engagement. Strong GitHub activity score (96.9) demonstrates active engineering contributions."
CAND_0042506,8,0.5993,"Highly qualified candidate with 4.2y experience, currently serving as Search Engineer at Verloop.io. Brings strong hands-on experience in PEFT, Semantic Search, Fine-tuning LLMs, showing excellent product-focused ML depth. Located in Mumbai. Highly hireable with a quick 15-day notice. Strong GitHub activity score (64.0) demonstrates active engineering contributions."
CAND_0044855,9,0.5977,"Stellar candidate with 6.6y experience, currently Senior Data Scientist at Flipkart. Demonstrates deep expertise in Hugging Face Transformers, OpenSearch, Information Retrieval, aligning perfectly with the JD's search and retrieval focus. Based in Coimbatore but willing to relocate. Note: 60-day notice period."
CAND_0068811,10,0.5899,"Top-tier Applied ML Engineer at Freshworks with 8.0y of relevant ML/search experience. Proven engineering capability in vector search/retrieval (Qdrant), critical for scaling the search infrastructure. Ideally located in the Noida/Pune hiring hub. Highly hireable with a quick 30-day notice."
CAND_0093912,11,0.585,"Highly qualified candidate with 5.3y experience, currently serving as Senior Data Scientist at Razorpay. Brings strong hands-on experience in Milvus, Embeddings, Recommendation Systems, showing excellent product-focused ML depth. Located in Chandigarh. Highly hireable with a quick 30-day notice. Strong GitHub activity score (81.5) demonstrates active engineering contributions."
CAND_0068351,12,0.5821,"Stellar candidate with 6.4y experience, currently Lead AI Engineer at Sarvam AI. Demonstrates deep expertise in Qdrant, Elasticsearch, PEFT, aligning perfectly with the JD's search and retrieval focus. Located in Delhi. Highly hireable with a quick 0-day notice. Excellent response rate of 86% indicates strong candidate engagement."
CAND_0041610,13,0.5786,"Top-tier Recommendation Systems Engineer at Zoho with 6.7y of relevant ML/search experience. Proven engineering capability in vector search/retrieval (Elasticsearch), critical for scaling the search infrastructure. Based in Indore but willing to relocate. Highly hireable with a quick 30-day notice."
CAND_0049538,14,0.5785,"Highly qualified candidate with 5.8y experience, currently serving as Applied ML Engineer at Saarthi.ai. Brings strong hands-on experience in OpenSearch, Vector Search, Milvus, showing excellent product-focused ML depth. Located in Jaipur. Highly hireable with a quick 30-day notice. Strong GitHub activity score (90.8) demonstrates active engineering contributions."
CAND_0045250,15,0.5712,"Stellar candidate with 6.6y experience, currently Applied ML Engineer at Rephrase.ai. Demonstrates deep expertise in Sentence Transformers, Milvus, LoRA, aligning perfectly with the JD's search and retrieval focus. Located in Delhi. Highly hireable with a quick 15-day notice."
CAND_0052682,16,0.5505,"Solid background of 6.6y in engineering, working as NLP Engineer at Aganitha. Has relevant background in QLoRA, Semantic Search, FAISS, matching the technical requirements of the role. Based in Vizag. Available relatively quickly (30-day notice)."
CAND_0036437,17,0.5293,"Candidate brings 4.8y of software experience, currently Search Engineer at Rephrase.ai. Familiar with vector search/retrieval (OpenSearch), representing a good technical match for the search team. Located in Kolkata, open to relocation. Available relatively quickly (30-day notice)."
CAND_0078042,18,0.513,"Experienced Applied ML Engineer with 4.7y tenure, currently at PolicyBazaar. Shows good skills alignment with experience in OpenSearch, Sentence Transformers, NLP. Based in Dubai. Available relatively quickly (30-day notice)."
CAND_0077337,19,0.5115,"Solid background of 7.0y in engineering, working as Staff Machine Learning Engineer at Paytm. Has relevant background in Semantic Search, QLoRA, Pinecone, matching the technical requirements of the role. Located in Kochi, open to relocation. Standard 60-day notice period."
CAND_0037566,20,0.4835,"Candidate brings 6.9y of software experience, currently Machine Learning Engineer at LinkedIn. Familiar with vector search/retrieval (Pinecone), representing a good technical match for the search team. Located in Bangalore, open to relocation. Available relatively quickly (15-day notice)."
CAND_0041669,21,0.4835,"Experienced Recommendation Systems Engineer with 8.0y tenure, currently at CRED. Shows good skills alignment with experience in FAISS, Milvus, PEFT. Pune/Noida-based. Standard 60-day notice period."
CAND_0006418,22,0.472,"Solid background of 5.7y in engineering, working as Machine Learning Engineer at Verloop.io. Has relevant background in Semantic Search, Embeddings, Weaviate, matching the technical requirements of the role. Located in Gurgaon, open to relocation. Standard 60-day notice period."
CAND_0039838,23,0.4506,"Candidate brings 4.9y of software experience, currently Recommendation Systems Engineer at Amazon. Familiar with vector search/retrieval (Milvus), representing a good technical match for the search team. Based in Kochi. Standard 90-day notice period. Minor concerns include 90-day notice period."
CAND_0006557,24,0.4464,"Experienced NLP Engineer with 7.9y tenure, currently at Paytm. Shows good skills alignment with experience in Elasticsearch, OpenSearch, Vector Search. Located in Jaipur, open to relocation. Standard 120-day notice period. Minor concerns include 120-day notice period."
CAND_0051292,25,0.4383,"Solid background of 5.2y in engineering, working as Applied ML Engineer at Freshworks. Has relevant background in FAISS, LLMs, Vector Search, matching the technical requirements of the role. Based in Trivandrum. Available relatively quickly (30-day notice)."
CAND_0050454,26,0.4337,"Candidate brings 6.8y of software experience, currently AI Engineer at Rephrase.ai. Familiar with vector search/retrieval (FAISS), representing a good technical match for the search team. Located in Delhi, open to relocation. Available relatively quickly (30-day notice)."
CAND_0088025,27,0.4335,"Experienced Staff Machine Learning Engineer with 8.6y tenure, currently at Yellow.ai. Shows good skills alignment with experience in Pinecone, QLoRA, LLMs. Based in Jaipur. Standard 90-day notice period. Minor concerns include 90-day notice period."
CAND_0005260,28,0.4317,"Solid background of 5.2y in engineering, working as Senior NLP Engineer at Netflix. Has relevant background in Information Retrieval, Semantic Search, NLP, matching the technical requirements of the role. Located in Chennai, open to relocation. Standard 60-day notice period."
CAND_0062247,29,0.4263,"Candidate brings 7.3y of software experience, currently AI Engineer at Google. Familiar with vector search/retrieval (Pinecone), representing a good technical match for the search team. Located in Kochi, open to relocation. Available relatively quickly (30-day notice)."
CAND_0030031,30,0.4235,"Experienced AI Engineer with 5.7y tenure, currently at Microsoft. Shows good skills alignment with experience in Information Retrieval, NLP, RAG. Based in Trivandrum. Available relatively quickly (30-day notice)."
CAND_0007009,31,0.4179,"Solid background of 7.9y in engineering, working as Recommendation Systems Engineer at Wysa. Has relevant background in Weaviate, Embeddings, PEFT, matching the technical requirements of the role. Pune/Noida-based. Available relatively quickly (30-day notice)."
CAND_0011162,32,0.4159,"Candidate brings 5.8y of software experience, currently Recommendation Systems Engineer at upGrad. Familiar with vector search/retrieval (FAISS), representing a good technical match for the search team. Located in Coimbatore, open to relocation. Standard 90-day notice period. Minor concerns include 90-day notice period."
CAND_0032515,33,0.4026,"Experienced Machine Learning Engineer with 5.1y tenure, currently at PharmEasy. Shows good skills alignment with experience in Milvus, Vector Search, QLoRA. Based in Seattle. Standard 45-day notice period."
CAND_0018549,34,0.3969,"Solid background of 6.8y in engineering, working as Recommendation Systems Engineer at Uber. Has relevant background in Weaviate, Elasticsearch, Qdrant, matching the technical requirements of the role. Located in Coimbatore, open to relocation. Standard 60-day notice period."
CAND_0081686,35,0.3951,"Candidate brings 6.0y of software experience, currently Search Engineer at Netflix. Familiar with vector search/retrieval (FAISS), representing a good technical match for the search team. Based in Austin. Standard 60-day notice period."
CAND_0009024,36,0.3845,"Experienced Search Engineer with 5.2y tenure, currently at Google. Shows good skills alignment with experience in Qdrant, PEFT, FAISS. Based in Chennai. Available relatively quickly (30-day notice)."
CAND_0065195,37,0.3823,"Solid background of 5.1y in engineering, working as Search Engineer at CRED. Has relevant background in LLMs, QLoRA, Elasticsearch, matching the technical requirements of the role. Based in Kolkata. Standard 45-day notice period."
